Z100;ALBANIA;EE
Z101;ANDORRA;EE
Z102;AUSTRIA;EE
Z103;BELGIO;EE
Z104;BULGARIA;EE
Z105;CECOSLOVACCHIA;EE
Z106;CITTA' DEL VATICANO;EE
Z107;DANIMARCA;EE
Z108;FAER OER (ISOLE);EE
Z109;FINLANDIA;EE
Z110;FRANCIA;EE
Z111;GERMANIA REPUBBLICA DEMOCRATICA;EE
Z112;GERMANIA REPUBBLICA FEDERALE;EE
Z113;GIBILTERRA;EE
Z114;GRAN BRETAGNA E IRLANDA DEL NORD;EE
Z115;GRECIA;EE
Z116;IRLANDA = EIRE;EE
Z117;ISLANDA;EE
Z118;IUGOSLAVIA;EE
Z119;LIECHTENSTEIN;EE
Z120;LUSSEMBURGO;EE
Z121;MALTA;EE
Z122;MAN (ISOLA);EE
Z123;MONACO;EE
Z124;NORMANNE (ISOLE);EE
Z125;NORVEGIA;EE
Z126;PAESI BASSI;EE
Z127;POLONIA;EE
Z128;PORTOGALLO;EE
Z129;ROMANIA;EE
Z130;SAN MARINO;EE
Z131;SPAGNA;EE
Z132;SVEZIA;EE
Z133;SVIZZERA;EE
Z134;UNGHERIA;EE
Z135;URSS;EE
Z136;GEORGIA;EE
Z137;ARMENIA;EE
Z138;UCRAINA;EE
Z139;BIELORUSSIA;EE
Z140;MOLDAVIA;EE
Z141;AZERBAIGIAN;EE
Z144;ESTONIA;EE
Z145;LETTONIA;EE
Z146;LITUANIA;EE
Z148;MACEDONIA;EE
Z149;CROAZIA;EE
Z150;SLOVENIA;EE
Z153;BOSNIA ED ERZEGOVINA;EE
Z154;RUSSIA;EE
Z155;SLOVACCHIA;EE
Z156;CECA REPUBBLICA;EE
Z200;AFGHANISTAN;EE
Z201;ARABIA MERIDIONALE FEDERAZIONE;EE
Z202;ARABIA MERIDIONALE PROTETTORATO;EE
Z203;ARABIA SAUDITA;EE
Z204;BAHREIN;EE
Z205;BHUTAN;EE
Z206;BIRMANIA;EE
Z207;BRUNEI;EE
Z208;CAMBOGIA;EE
Z209;SRY LANKA O CEYLON;EE
Z210;CINA REPUBBLICA POPOLARE;EE
Z211;CIPRO;EE
Z212;COCOS (ISOLE);EE
Z213;COREA DEL SUD;EE
Z214;COREA DEL NORD;EE
Z215;EMIRATI ARABI UNITI;EE
Z216;FILIPPINE;EE
Z217;TAIWAN O FORMOSA;EE
Z218;GAZA TERRITORIO DI;EE
Z219;GIAPPONE;EE
Z220;GIORDANIA;EE
Z221;HONG KONG;EE
Z222;INDIA;EE
Z223;INDONESIA;EE
Z224;IRAN;EE
Z225;IRAQ;EE
Z226;ISRAELE;EE
Z227;KUWAIT;EE
Z228;LAOS;EE
Z229;LIBANO;EE
Z230;MALAYSIA;EE
Z231;MACAO;EE
Z232;MALDIVE;EE
Z233;MONGOLIA;EE
Z234;NEPAL;EE
Z235;OMAN;EE
Z236;PAKISTAN;EE
Z237;QATAR;EE
Z238;RYUKYU (ISOLE);EE
Z239;SIKKIM;EE
Z240;SIRIA;EE
Z241;THAILANDIA;EE
Z242;TIMOR (ISOLA);EE
Z243;TURCHIA;EE
Z244;VIETNAM DEL SUD;EE
Z245;VIETNAM DEL NORD;EE
Z246;YEMEN;EE
Z247;MALAYSIA;EE
Z248;SINGAPORE;EE
Z249;BANGLADESH;EE
Z251;VIETNAM;EE
Z252;ARMENIA;EE
Z253;AZERBAIGIAN;EE
Z254;GEORGIA;EE
Z255;KAZAKISTAN;EE
Z256;KIRGHIZISTAN;EE
Z257;TAGIKISTAN;EE
Z258;TURKMENISTAN;EE
Z259;UZBEKISTAN;EE
Z300;NAMIBIA O AFRICA DEL SUD-OVEST;EE
Z301;ALGERIA;EE
Z302;ANGOLA;EE
Z303;BASUTOLAND-SUD AFRICA BRITANNICO;EE
Z304;BECIUANIA-SUD AFRICA BRITANNICO;EE
Z305;BURUNDI;EE
Z306;CAMERUN;EE
Z307;CAPO VERDE (ISOLE);EE
Z308;CENTRAFRICANA REPUBBLICA;EE
Z309;CIAD;EE
Z310;COMORE (ISOLE);EE
Z311;CONGO BRAZZAVILLE;EE
Z312;ZAIRE EX CONGO LEOPOLDVILLE;EE
Z313;COSTA D'AVORIO;EE
Z314;DAHOMEY O BENIN;EE
Z315;ETIOPIA;EE
Z316;GABON;EE
Z317;GAMBIA;EE
Z318;GHANA;EE
Z319;GUINEA;EE
Z320;GUINEA BISSAU;EE
Z321;GUINEA EQUATORIALE;EE
Z322;KENYA;EE
Z323;IFNI;EE
Z324;LA REUNION (ISOLE);EE
Z325;LIBERIA;EE
Z326;LIBIA;EE
Z327;MADAGASCAR;EE
Z328;MALAWI;EE
Z329;MALI;EE
Z330;MAROCCO;EE
Z331;MAURITANIA;EE
Z332;MAURIZIO;EE
Z333;MOZAMBICO;EE
Z334;NIGER;EE
Z335;NIGERIA;EE
Z336;EGITTO;EE
Z337;ZIMBABWE EX RHODESIA;EE
Z338;RUANDA;EE
Z339;SAHARA SPAGNOLO;EE
Z340;SANT'ELENA ISOLA;EE
Z341;SAO TOME' E PRINCIPE (ISOLE);EE
Z342;SEICELLE (ISOLE);EE
Z343;SENEGAL;EE
Z344;SIERRA LEONE;EE
Z345;SOMALIA;EE
Z346;SOMALIA FRANCESE;EE
Z347;SUDAFRICANA REPUBBLICA;EE
Z348;SUDAN;EE
Z349;SWAZILAND;EE
Z350;TANGANICA;EE
Z351;TOGO;EE
Z352;TUNISIA;EE
Z353;UGANDA;EE
Z354;VOLTA O ALTOVOLTA;EE
Z355;ZAMBIA;EE
Z356;ZANZIBAR;EE
Z357;TANZANIA;EE
Z358;BOTSWANA;EE
Z359;LESOTHO;EE
Z361;GIBUTI;EE
Z364;BOPHUTHATSWANA;EE
Z367;CISKEI;EE
Z368;ERITREA;EE
Z400;BERMUDE (ISOLE);EE
Z401;CANADA;EE
Z402;GROENLANDIA;EE
Z403;SAINT PIERRE ET MIQUELON(ISOLE);EE
Z404;STATI UNITI D'AMERICA;EE
Z500;ANTILLE BRITANNICHE;EE
Z501;ANTILLE OLANDESI;EE
Z502;BAHAMA;EE
Z503;COSTA RICA;EE
Z504;CUBA;EE
Z505;DOMINICANA REPUBLICA;EE
Z506;EL SALVADOR;EE
Z507;GIAMAICA;EE
Z508;GUADALUPA;EE
Z509;GUATEMALA;EE
Z510;HAITI;EE
Z511;HONDURAS;EE
Z512;BELIZE EX HONDURAS BRITANNICO;EE
Z513;MARTINICA;EE
Z514;MESSICO;EE
Z515;NICARAGUA;EE
Z516;PANAMA;EE
Z517;PANAMA ZONA DEL CANALE;EE
Z518;PUERTO RICO;EE
Z519;TURKS E CAICOS (ISOLE);EE
Z520;VERGINI AMERICANE (ISOLE);EE
Z522;BARBADOS;EE
Z524;GRENADA;EE
Z527;SAINT LUCIA;EE
Z528;SAINT VINCENT E GRANADINE;EE
Z529;ANGUILLA (ISOLA);EE
Z530;CAYMAN (ISOLE);EE
Z531;MONTSERRAT;EE
Z532;ANTIGUA E BARBUDA;EE
Z533;SAN KITTS E NEVIS;EE
Z600;ARGENTINA;EE
Z601;BOLIVIA;EE
Z602;BRASILE;EE
Z603;CILE;EE
Z604;COLOMBIA;EE
Z605;ECUADOR;EE
Z606;GUAYANA BRITANNICA;EE
Z607;GUAYANA FRANCESE;EE
Z608;SURINAME EX GUAYANA OLANDESE;EE
Z609;MALVINE O FALKLAND (ISOLE);EE
Z610;PARAGUAY;EE
Z611;PERU';EE
Z612;TRINIDAD E TOBAGO;EE
Z613;URUGUAY;EE
Z614;VENEZUELA;EE
Z700;AUSTRALIA;EE
Z701;CAROLINE (ISOLE);EE
Z702;CHRISTMAS (ISOLA);EE
Z703;COOK (ISOLE);EE
Z704;FIGI O VITI (ISOLE);EE
Z705;GILBERT E ELLICE (ISOLE);EE
Z706;GUAM (ISOLA);EE
